"Story","Title","Result","Date","Stability","Duration (s)"
"Category CRU dtest with steps","This test will create a new categories and verify its generated","SUCCESS","2021-07-21T22:36:23.855+01:00[Europe/London]","0.0","19.28"
"Product CRU dtest with steps","This will create a new Product and verify new id","SUCCESS","2021-07-21T22:36:40.146+01:00[Europe/London]","0.0","3.03"
"Category CRU dtest with steps","This test will get the categories information by ID","SUCCESS","2021-07-21T22:36:43.198+01:00[Europe/London]","0.0","0.2"
"Product CRU dtest with steps","This test will get the product information by ID","SUCCESS","2021-07-21T22:36:43.254+01:00[Europe/London]","0.0","0.23"
"Category CRU dtest with steps","This test will update the categories information and verify the updated information","SUCCESS","2021-07-21T22:36:43.402+01:00[Europe/London]","0.0","0.58"
"Product CRU dtest with steps","This test will update the product information and verify the updated information","SUCCESS","2021-07-21T22:36:43.486+01:00[Europe/London]","0.0","0.24"
"Product CRU dtest with steps","This test will delete the product information and verify the product is deleted ","SUCCESS","2021-07-21T22:36:43.731+01:00[Europe/London]","0.0","0.26"
"Category CRU dtest with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-21T22:36:43.990+01:00[Europe/London]","0.0","2.94"
"Product CRU dtest with steps","This test will get all product from list","SUCCESS","2021-07-21T22:36:43.999+01:00[Europe/London]","0.0","2.92"
"Service CRU dtest with steps","This test will create a new services and verify its generated","SUCCESS","2021-07-21T22:36:51.653+01:00[Europe/London]","0.0","0.18"
"Service CRU dtest with steps","This test will get the services information by ID","SUCCESS","2021-07-21T22:36:51.836+01:00[Europe/London]","0.0","0.11"
"Service CRU dtest with steps","This test will update the services information and verify the updated information","SUCCESS","2021-07-21T22:36:51.953+01:00[Europe/London]","0.0","0.17"
"Service CRU dtest with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-21T22:36:52.135+01:00[Europe/London]","0.0","0.21"
